Year   Jan   Feb   Mar   Apr   May   Jun   Jul   Aug   Sep   Oct   Nov   Dec   Tot
1920  21.0  27.6  39.3  45.1  54.6  65.8  72.4  72.0  65.2  59.8  41.7  35.6  50.0
1921  32.1  32.5  46.2  51.7  58.0  68.2  73.2  69.8  68.5  55.2  41.5  31.5  52.4
1922  27.2  32.0  39.8  48.7  61.4  68.7  72.0  70.4  65.2  55.1  43.8  30.9  51.3
1923  26.9  23.4  33.8  48.1  57.6  69.3  70.0  69.4  64.2  55.5  44.7  40.4  50.3
1924  31.9  26.6  37.5  47.2  56.2  66.6  73.8  71.9  62.2  54.6  44.6  31.1  50.4
1925  27.2  38.1  43.1  49.8  57.4  70.9  72.4  71.1  64.1  49.3  43.6  33.6  51.7
1926  31.0  27.9  34.3  44.8  56.0  64.3  70.5  70.4  62.4  53.4  44.2  28.6  49.0
1927  30.6  32.6  41.6  48.3  55.2  65.1  72.2  67.5  65.0  57.9  49.6  36.0  51.8
1928  33.0  29.6  37.0  46.8  55.3  65.0  73.2  73.6  62.4  56.6  44.8  38.5  51.3
1929  29.0  31.7  41.4  47.1  61.0  68.4  72.6  69.3  65.2  53.2  44.7  32.6  51.4
1930  31.8  34.1  38.3  47.6  59.4  72.4  72.6  70.5  69.4  53.0  45.1  33.2  52.3
1931  30.5  30.6  39.3  50.2  60.3  67.2  74.0  72.1  66.9  58.5  49.5  36.6  53.0
1932  38.8  30.7  35.6  47.4  60.3  66.5  72.8  74.0  65.1  57.1  42.8  38.1  52.4
1933  37.9  33.7  35.7  46.5  61.6  69.6  70.7  71.7  65.8  52.7  38.3  26.9  50.9
1934  29.5  17.5  35.1  48.0  60.6  66.9  73.1  67.3  64.5  49.6  45.6  28.5  48.8
1935  23.2  27.9  38.4  45.2  55.5  65.5  72.6  70.7  61.4  53.8  45.4  27.1  48.9
1936  28.2  22.8  41.8  45.3  60.6  66.2  71.1  69.7  62.6  54.5  39.5  34.9  49.8
1937  37.4  33.2  34.1  45.3  59.1  66.4  73.2  74.5  62.9  52.6  44.0  31.2  51.2
1938  28.0  30.6  39.1  48.7  55.8  67.2  71.8  73.6  62.2  56.0  46.4  34.0  51.1
1939  27.9  32.2  33.2  43.6  56.5  65.6  72.3  73.8  64.5  54.1  40.8  33.4  49.8
1940  23.0  29.6  33.1  43.6  56.3  65.1  71.5  68.5  63.3  50.6  42.9  34.3  48.5
1941  25.3  29.4  33.4  51.6  59.9  68.2  71.4  70.6  66.0  55.9  48.0  35.2  51.2
1942  28.5  27.1  40.8  49.7  60.7  67.4  71.1  70.7  64.5  55.8  43.5  28.6  50.7
1943  25.5  30.6  36.0  43.4  57.6  71.1  74.1  71.0  62.9  53.8  43.3  29.5  49.9
1944  30.9  29.6  34.1  44.7  63.2  67.0  73.8  74.7  65.0  53.7  43.2  30.8  50.9
1945  23.7  30.5  46.3  52.5  55.1  66.6  71.9  70.7  67.1  53.1  45.5  28.5  51.0
1946  28.3  27.6  47.2  46.1  58.0  67.5  70.9  67.8  65.9  58.4  47.9  34.8  51.7
1947  32.6  29.6  37.7  47.1  56.9  65.4  74.4  73.1  64.7  61.5  41.2  30.4  51.2
1948  23.3  26.6  38.0  48.0  55.0  63.6  74.5  73.7  65.7  54.3  49.6  36.3  50.7
1949  34.7  34.4  39.2  50.8  60.3  71.6  76.3  74.4  63.2  58.4  43.5  36.8  53.6
1950  36.2  28.0  33.7  46.8  55.8  69.1  73.5  70.8  61.5  56.3  47.8  35.5  51.2
1951  34.0  34.7  39.0  51.0  59.1  66.0  74.0  70.6  65.5  54.8  42.6  35.0  52.2
1952  32.6  32.5  37.2  50.4  57.2  70.6  77.5  72.2  66.3  53.0  44.9  35.6  52.5
1953  34.7  35.0  39.0  48.9  58.4  70.5  73.2  72.0  66.3  56.2  48.6  40.1  53.6
1954  25.9  36.4  38.8  50.1  56.3  66.6  72.1  70.1  63.2  58.6  44.4  34.4  51.4
1955  28.5  32.0  37.6  49.2  62.7  66.8  77.2  74.5  64.4  55.1  41.9  26.6  51.4
1956  30.6  32.5  33.5  45.6  55.4  68.9  71.7  71.8  61.1  54.3  46.1  36.0  50.6
1957  23.4  34.6  39.0  49.4  59.8  71.3  74.1  69.3  67.3  54.5  47.1  40.0  52.5
1958  31.0  25.5  39.0  48.7  56.6  63.9  72.4  72.4  64.6  52.6  46.5  26.4  50.0
1959  28.7  26.7  37.0  48.9  62.6  64.6  74.7  74.1  68.1  55.0  44.4  36.3  51.8
1960  30.9  35.3  32.7  48.3  59.7  69.6  73.1  72.2  63.7  53.9  48.0  29.5  51.4
1961  25.0  31.6  36.8  45.2  56.3  68.9  72.1  72.5  68.9  57.3  44.6  32.8  51.0
1962  28.7  26.7  38.5  49.3  57.2  68.4  70.3  69.9  62.9  54.1  41.7  30.0  49.8
1963  29.5  25.9  39.0  48.9  59.4  69.4  74.7  70.4  60.8  60.0  48.2  25.8  51.0
1964  31.7  29.1  38.7  46.1  60.3  67.0  71.5  66.4  62.0  52.5  44.0  32.4  50.1
1965  25.4  27.9  35.8  44.2  59.5  67.4  71.0  70.5  62.5  52.8  42.1  36.1  49.6
1966  28.8  31.3  39.7  45.8  57.2  69.4  74.9  71.2  63.5  54.4  46.8  34.2  51.4
1967  35.1  26.4  33.1  44.9  51.6  67.2  72.9  70.8  62.7  53.7  40.1  34.9  49.5
1968  25.5  26.0  39.1  49.6  56.1  64.8  75.2  70.7  64.9  57.9  43.8  30.9  50.4
1969  29.3  29.4  35.4  50.6  58.5  69.3  71.0  74.3  63.7  54.3  44.9  33.4  51.2
1970  23.0  32.3  37.4  49.0  59.6  67.0  74.2  73.6  65.6  54.9  44.8  28.9  50.9
1971  23.7  30.4  36.7  45.0  55.7  69.1  73.4  73.4  67.9  59.8  43.1  36.3  51.2
1972  33.0  29.6  36.3  44.9  57.6  65.4  73.7  71.5  65.7  51.8  42.3  33.0  50.4
1973  31.4  30.1  43.3  49.8  57.0  70.0  74.2  74.8  64.4  55.6  45.8  39.5  53.0
1974  31.7  29.1  38.7  50.8  54.7  64.8  72.4  72.0  63.6  50.0  45.3  37.7  50.9
1975  34.9  32.0  36.8  45.1  61.4  67.5  75.9  72.9  63.8  57.3  51.8  34.4  52.8
1976  26.1  37.3  41.1  55.1  60.2  73.4  72.9  71.9  64.8  52.3  41.9  29.0  52.2
1977  23.2  30.7  44.7  51.3  62.6  67.4  74.9  73.4  64.4  55.3  48.1  34.2  52.5
1978  28.4  27.0  36.2  48.8  59.3  68.2  72.0  71.6  61.4  52.5  43.5  35.3  50.3
1979  32.5  23.1  42.5  48.7  61.1  68.2  74.5  71.7  64.9  52.6  48.6  36.6  52.1
1980  29.4  27.8  36.8  48.7  59.4  66.3  75.8  74.2  66.9  52.4  41.2  28.6  50.6
1981  21.4  36.4  39.1  51.7  60.4  70.7  74.6  72.0  63.6  51.2  43.8  33.2  51.5
1982  22.9  30.8  38.6  48.2  57.8  63.3  74.8  70.3  64.0  54.2  47.6  39.5  51.0
1983  31.2  32.8  40.6  49.1  58.1  70.7  78.0  73.6  70.6  55.1  46.0  32.1  53.2
1984  26.6  37.5  31.8  46.0  58.0  70.5  74.7  74.6  62.1  53.2  44.5  39.5  51.6
1985  24.3  32.8  40.3  49.2  59.2  64.8  73.5  70.3  65.4  55.4  45.4  31.3  51.0
1986  31.4  28.8  40.7  48.4  58.4  66.0  71.0  70.5  63.2  54.0  42.2  35.5  50.8
1987  28.9  29.1  38.5  45.1  57.1  65.1  71.6  70.3  65.4  54.3  43.8  36.1  50.4
1988  27.8  32.1  39.2  46.8  57.6  68.5  73.7  75.5  64.6  50.8  46.7  32.8  51.3
1989  34.5  30.5  37.2  45.9  59.3  67.8  72.7  71.6  64.7  55.2  42.7  21.7  50.3
1990  36.4  34.1  40.1  47.6  54.9  66.6  73.1  73.3  64.6  58.3  48.5  40.7  53.2
1991  29.4  36.0  41.5  51.3  63.2  70.0  74.6  73.7  63.6  56.4  45.2  35.9  53.4
1992  31.0  32.4  35.4  46.3  55.5  67.7  69.4  70.3  63.9  52.4  42.8  34.8  50.2
1993  32.4  27.1  36.4  48.3  60.3  69.4  74.7  73.5  64.8  52.3  45.6  34.2  51.6
1994  22.2  26.9  38.1  51.4  58.4  71.9  77.5  72.4  64.2  55.5  48.9  38.5  52.2
1995  34.6  28.4  38.8  46.0  57.2  68.6  75.9  72.8  63.1  58.3  41.9  31.7  51.4
1996  30.1  30.9  36.5  47.9  57.4  68.1  71.8  70.9  64.1  53.2  40.3  39.2  50.9
1997  29.2  36.0  36.7  46.3  56.1  68.2  73.6  71.1  64.2  52.8  41.6  35.2  50.9
1998  33.9  35.2  41.5  49.4  60.3  64.6  74.3  72.5  66.3  54.4  44.6  39.1  53.0
1999  29.5  33.6  39.3  49.2  58.2  70.9  75.7  71.3  67.0  53.0  48.0  37.3  52.7
2000  27.5  34.2  43.3  47.3  57.2  67.3  70.0  70.3  63.5  53.9  43.8  29.2  50.6
2001  30.0  31.7  35.3  48.7  59.5  71.1  69.9  73.9  65.3  56.2  48.3  40.5  52.5
2002  36.7  36.3  40.2  49.7  57.7  66.5  75.2  75.2  68.4                    56.2
